post_id,instances,ocr,verdicts,text,translated_ocr,language
34,"[(1497382891.0, 'fb')]",Nós vivemos numa geração de pessoas emocionalmente fracas Tudo tem que ser abafado porque é ofensivo inclusive a verdade INTELIGENTISTA  Keanu Reeves youtubecominteligentista,['Partly false information'],,We live in a generation of people emotionally weak everything has to be stuffy because its offensive including the truth INTELLIGENTIST  Keanu Reeves youtubecomintelligentista,"[('por', 0.6293774843215942), ('spa', 0.08393030613660812), ('eng', 0.04470100253820419)]"
35,"[(1657697313.0, 'fb'), (1657739336.0, 'fb')]",O pior da peste não é que mata os corpos mas que desnuda as almas e esse espetáculo costuma ser horroroso Albert Camus,['False information'],,The worst of the plague is not that kills the bodies but that bare the souls and this show usually be hideous Albert Camus,"[('por', 0.6039569973945618), ('spa', 0.2876852750778198), ('eng', 0.10835772007703781)]"
36,"[(1592660555.0, 'fb'), (1592663870.0, 'fb')]",Ovid is Latin for a sheep COVID starts with a C which also means see in ancient language 19 was know as the Number of Surrender in ancient times COVID 19  See A Sheep Surrender,['False information'],,Ovid is Latin for a sheep COVID starts with a C which also means see in ancient language 19 was know as the Number of Surrender in ancient times COVID 19  See A Sheep Surrender,"[('eng', 1.0)]"
37,"[(1657580610.0, 'fb'), (1657312411.0, 'fb')]",Para controlar a un pueblo hay que conocer su miedo y es evidente que el primer miedo de cada individuo es estar en peligro mortal Una vez que el ser humano se hace esclavo de su miedo es fácil hacerle creer que el papá Estado estará listo para ayudar a salvarlo George Orwell 1984 1984 GEORGE ORWELL,['False information'],,To control a people you have to know his fear and it is evident that the every individuals first fear is to be in deadly danger Once the human being makes you a slave to your fear its easy to make you believe that the State dad will be ready for help save him George Orwell 1984 1984 George Orwell,"[('spa', 0.8608609437942505), ('eng', 0.12330413609743118)]"
38,"[(1589743830.0, 'fb')]",Para controlar a un pueblo hay que conocer su miedo y es evidente que el primer miedo de cada individuo es estar en peligro mortal Una vez que el ser humano se hace esclavo de su miedo es fácil hacerle creer que el papá Estado estará listo para ayudar a salvarlo George Orwell 1984 1984 GEORGE ORWELL,['False information'],,To control a people you have to know their fear and it is evident that the first fear of each individual is to be in mortal danger Once the human being becomes a slave to his fear is easy to make him believe that the dad State will be ready to help save him George Orwell 1984 1984 George Orwell,"[('spa', 0.8592491745948792), ('eng', 0.09763699769973755)]"
39,"[(1591209000.0, 'fb')]",Para saber quem controla sua vida simplesmente descubra quem você não tem permissão para criticar  Voltaire,['False information'],,To know who controls your life just find out who you dont have permission to criticize  Voltaire,"[('por', 1.0)]"
40,"[(1640911168.0, 'fb')]",SE A TERCEIRA DOSE É A QUE FUNCIONA DEVERIA TER SIDO DADA PRIMEIRO DILMA ROUSSEFF,['False information'],,IF THE THIRD DOSE IS THE IT WORKS SHOULD HAVE BEEN GIVEN FIRST DILMA ROUSSEFF,"[('por', 0.814455509185791), ('lb', 0.1855444759130478)]"
41,"[(1613714235.0, 'fb')]",Se quiser saber quem controla você é só observar a quem você não pode criticar Voltaire,['False information'],,If you want to know who controls you its just watch who you cannot criticize Voltaire,"[('por', 0.8951911926269531), ('eng', 0.10480879992246628)]"
42,"[(1637024739.0, 'fb')]",Sempre disputei corridas no Brasil e nunca vi o povo tão feliz quanto no governo Bolsonaro Lewis Hamilton para o jornal The NY Times SON A OUTRO MITO Hamilton elogia Bolsonaro na frente de Doria,['Partly false information'],,Ive always raced in Brazil and Ive never seen the people as happy as in Bolsonaro government Lewis Hamilton for newspaper The NY Times SON THE ANOTHER MYTH Hamilton praises Bolsonaro at the front from Doria,"[('por', 0.8879698514938354), ('eng', 0.09598295390605927)]"
43,"[(1603457400.0, 'fb')]",Si las Farc asesinaron y violaron menores de edad ¿por qué el Ejército Nacional no puede hacer lo mismo Representante Paola Holguín 22102020,['Partly false information'],,If the FARC murdered and they raped minors old why what the Army national not can do it same Representative Paola Holguin 10222020,"[('spa', 0.799119770526886), ('por', 0.10498584061861038)]"
44,"[(1618240459.0, 'fb')]",Spanish Dancer Jellyfish See more,['False information'],,Spanish Dancer Jellyfish See more,"[('eng', 1.0)]"
46,"[(1551299897.0, 'fb')]",THE OUTCOME OF THE 2019 PRESIDENTIAL ELECTIONS REAFFIRMS THE MASSIVE SUPPORT OF THE NIGERIAN PUBLIC TO THE FIGHT AGAINST CORRUPTION 11 ELLEN JOHNSONSIRLEAF HEAD OF THE ECOWAS ELECTION OBSERVATION MISSION TO NIGERIA,['False information'],,THE OUTCOME OF THE 2019 PRESIDENTIAL ELECTIONS REAFFIRMS THE MASSIVE SUPPORT OF THE NIGERIAN PUBLIC TO THE FIGHT AGAINST CORRUPTION 11 ELLEN JOHNSONSIRLEAF HEAD OF THE ECOWAS ELECTION OBSERVATION MISSION TO NIGERIA,"[('eng', 0.9947438836097717)]"
47,"[(1541389108.0, 'ig')]",The doctors know that your baby is meant to stay connected to the umbilical cord until all the blood and stem cells are transferred to your babybut they clamp early because they are getting paid big  by big pharma to take the cord bloodAnd substitute it with a dangerous so called vitamin K shotthat they claim is necessary to prevent brain bleedpure bullshit and liesfear mongering YOUR BABYS BLOOD BELONGS IN HER BODY,[],,The doctors know that your baby is meant to stay connected to the umbilical cord until all the blood and stem cells are transferred to your babybut they clamp early because they are getting paid big  by big pharma to take the cord bloodAnd substitute it with a dangerous so called vitamin K shotthat they claim is necessary to prevent brain bleedpure bullshit and liesfear mongering YOUR BABYS BLOOD BELONGS IN HER BODY,"[('eng', 1.0)]"
48,"[(1657229688.0, 'fb')]",Un pueblo que elige corruptos impostores ladrones y traidores no es víctima es cómplice George Orwell,['Partly false information'],,A people who choose corrupt impostors thieves and traitors it is not victim is accomplice George Orwell,"[('spa', 0.7628883123397827), ('eng', 0.13143353164196014), ('por', 0.10567815601825714)]"
49,"[(1640281774.0, 'fb')]",Unificaré la edad de pensión a 70 años hombre y mujer pues pensionarse joven genera ocio y vicio GUSTAVO PETRO fy in PSEO 27 de abril de 2018 13656 Compartido La Colombia Humana tendrá costos altos y no podemos darnos el lujo de pensionar a gente económicamente inactiva y menos empezando la tercera edad dijo ayer Gustavo Petro en una entrevista en Caracol Radio Estableció que el sistema pensional privado desaparecerá puesto que sus dineros serán expropiados por el Estado debido a que pertenecen al pueblo Por ello dejará solamente un sistema pensional público pero con edades nuevas de adquisición del derecho a,['Partly false information'],,I will unify the pension age to 70 years old man and woman well retiring young generates leisure and vice GUSTAVO PETRO fy in PSEO April 27 2018 13656 Shared Human Colombia will have high costs and we cannot give ourselves the luxury of pensioning people economically idle let alone starting elderly Gustavo said yesterday Petro in an interview in Radius snail It established that the private pension system will disappear since their money will be expropriated by the State because they belong to the people By This will leave only a public pension system but with new ages of acquisition of the right to,"[('spa', 0.9453772902488708), ('por', 0.04355909302830696), ('eng', 0.011063618585467339)]"
50,"[(1642537212.0, 'fb')]",Vão fabricar o próprio vírus e te venderam a cura fingirão que estão levando tempo para fabricar a solução que eles já tem desde o começo Muammar Gaddafi Discurso na ONU 2009,['Partly false information'],,They will manufacture their own virus and sold the cure they will pretend that are taking time to manufacture the solution that they already have since the start Muammar Gaddafi Speech at the UN 2009,"[('por', 0.9044483304023743), ('ha', 0.09555165469646454)]"
51,"[(None, 'fb')]",When government takes away citizens right to bear arms it becomes citizens duty to take away governments right to govern George Washington,[],,When government takes away citizens right to bear arms it becomes citizens duty to take away governments right to govern George Washington,"[('eng', 1.0)]"
